sequenceId,itemPosition,Whale,Rhythm,Tempo,Ornamentation,Synchrony,Duration,TsToAbs,Token,Rubato
0,0,1,8,0,0,0,0.21665,0.0,i1.?,?
0,1,1,8,0,0,0,0.209,0.2166500000000013,i1.=,=
0,2,1,1,0,0,0,0.116825,0.4256499999999903,b1.?,?
0,3,1,1,0,1,0,0.205725,0.542474999999996,b1*/,/
0,4,1,8,0,0,0,0.2234833999999999,2.2872665999999957,i1.?,?
0,5,1,8,0,0,0,0.2112166999999999,2.510750000000016,i1.=,=
0,6,1,3,0,0,0,0.14025,2.72196670000001,d1.?,?
0,7,1,1,0,0,0,0.13425,2.862216700000019,b1.?,?
0,8,1,1,0,1,0,0.1990083,2.996466699999999,b1*/,/
0,9,1,5,2,0,0,0.89825,5.676450000000003,f3.?,?
0,10,1,5,2,0,0,0.865575,9.51655000000001,f3.\,\
0,11,1,5,2,0,0,0.8583166,13.450550000000009,f3.=,=
0,12,1,5,2,0,0,0.8619416,16.716949999999983,f3.=,=
0,13,1,1,1,0,0,0.50535,19.78595,b2.?,?
0,14,1,0,0,0,0,0.3334749999999999,20.291299999999996,a1.?,?
0,15,1,5,2,0,1,0.8447332999999999,23.32445,f3.?,?
0,16,2,3,2,0,1,0.8711697,23.38265,d3.?,?
0,17,2,3,2,0,1,0.9260951,26.737350000000006,d3./,/
0,18,1,5,2,1,1,0.8275417,26.87705000000001,f3*=,=
0,19,2,3,3,0,1,0.946011,29.94695,d4.?,?
0,20,1,5,2,0,1,0.8468334000000001,30.12785000000001,f3./,/
0,21,2,3,3,0,0,1.0306499999999998,34.87325,d4./,/
0,22,2,3,4,0,1,1.0820167,39.80575,d5.?,?
0,23,1,5,3,0,0,1.0484083,40.13985000000001,f4.?,?
0,24,1,5,3,0,1,0.9956333,44.27295,f4.\,\
0,25,2,3,3,0,1,1.07565,44.51004999999999,d4.?,?
0,26,2,3,3,0,1,1.020525,48.63324999999999,d4.\,\
0,27,1,5,3,0,1,0.9803084,48.73405000000001,f4.=,=
0,28,2,3,3,0,1,0.9992167,52.35744999999999,d4.=,=
0,29,1,5,3,1,1,0.9525416,52.59585,f4*\,\
0,30,2,3,3,0,0,0.9997651,56.16994999999999,d4.=,=
0,31,2,3,3,0,1,1.0187389,59.75585,d4./,/
0,32,1,5,3,0,1,1.0598584,60.52804999999999,f4./,/
0,33,2,3,3,0,1,1.0307395,64.06185,d4.=,=
0,34,1,5,3,0,1,1.0668667,64.77845,f4.=,=
0,35,2,3,3,0,1,1.0595726,68.42264999999999,d4./,/
0,36,1,5,3,0,1,1.0691167,69.17694999999999,f4.=,=
0,37,2,3,3,1,1,1.0062386,72.79095,d4*\,\
0,38,1,4,2,0,1,0.6526,73.2442917,e3.?,?
0,39,2,3,3,0,1,0.969535,76.48264999999999,d4.\,\
0,40,1,5,3,0,1,0.9752834,76.51895,f4.?,?
0,41,2,3,3,0,0,1.0017667,80.25914999999999,d4./,/
0,42,2,3,3,0,0,0.9509917,84.11885,d4.\,\
0,43,2,3,3,1,1,0.941825,87.54035,d4*=,=
0,44,1,8,0,0,0,0.246575,90.0899667,i1.?,?
0,45,1,8,0,0,0,0.2329166,90.33654169999998,i1.=,=
0,46,1,3,0,0,0,0.164125,90.5694583,d1.?,?
0,47,1,1,0,0,0,0.166275,90.7335833,b1.?,?
0,48,1,1,0,0,0,0.3122084,90.8998583,b1./,/
0,49,1,11,0,0,1,0.2402834,93.82105,l1.?,?
0,50,2,3,3,0,1,0.9316936,93.99755,d4.=,=
0,51,1,8,0,0,1,0.20845,94.0613334,i1.?,?
0,52,1,3,0,0,0,0.1228083,94.2697834,d1.?,?
0,53,1,1,0,0,0,0.1246833,94.3925917,b1.?,?
0,54,1,1,0,1,0,0.2578417,94.517275,b1*/,/
